時間,新營流量,新營溫度,新營壓力,太保壓力北,太保壓力南,民雄壓力,民雄溫度,民雄流量
2021-08-22 18:50:27,-0.14079810773691601,29.210619999999999,12.3850121569434,11.476849174244601,5.1252284885701203,3.29710209064551,29.8415000763009,-0.68998931786966999
2021-08-22 18:50:28,-0.13969937433236801,29.232140000000001,12.3885796287502,11.477530480890399,5.1234635288341197,3.30165725621853,29.841622157790301,-0.71066687013582197
2021-08-22 18:50:29,-0.13595681367312601,29.232140000000001,12.390253389958801,11.4783754084236,5.1218219553410602,3.29198840225851,29.8420036624447,-0.68167251640469795
2021-08-22 18:50:30,-0.136666412330228,29.214020000000001,12.383805117610301,11.4769886543453,5.1233240487333997,3.3014237753700599,29.842095223561699,-0.65798107736913802
2021-08-22 18:50:31,-0.13137875782084299,29.214020000000001,12.377850390233499,11.476849174244601,5.1238551460399799,3.2990157179917601,29.8417747596521,-0.73111551960934695
2021-08-22 18:50:32,-0.13599114909202001,29.222280000000001,12.375929856539001,11.4779918381467,5.1231684747749098,3.2995605066381799,29.841553486952499,-0.69250724858843404
2021-08-22 18:50:33,-0.135579124065314,29.222280000000001,12.378333205966699,11.4783593145658,5.12383368756295,3.3034976346711402,29.8413093239738,-0.68029909964901103
2021-08-22 18:50:34,-0.13527010529528399,29.23038,12.3793739421029,11.476945737391301,5.1265481849076799,3.3019914542957398,29.841263543415199,-0.71268884480390804
2021-08-22 18:50:35,-0.13217991759499401,29.23038,12.379728006973901,11.476985972035701,5.1286618448954702,3.2960857622463,29.8416145276972,-0.72302762093698403
2021-08-22 18:50:36,-0.13532733099343899,29.219519999999999,12.373928853555601,11.4777799356859,5.12781959967191,3.2975461620631799,29.841851060582901,-0.674843583091708
2021-08-22 18:50:37,-0.13837173813520701,29.219519999999999,12.3743043769037,11.477983791217801,5.1260653691744196,3.2947489699374302,29.841721349000501,-0.68277887990233199
